date,Fear & Greed Index,googleTrendsDif,Month-over-month (%),type
01/18,83.8,-1.25,24.43,--
02/18,59.7,-25.5,-32.85,++
03/18,53.9,-19,19.41,--
04/18,44.8,-6.64,-37.50,++
05/18,59.3,-5.35,33.24,--
06/18,64.3,0.25,-17.30,--
07/18,66.9,-1.1,-15.32,++
08/18,73.7,-1.14,19.40,const
09/18,74.6,-2.84,-5.66,const
10/18,42,-3.15,-8.39,const
11/18,39.1,6.5,-3.21,--
12/18,24.1,-0.94,-33.92,const
01/19,43.4,-5.8,-8.81,const
02/19,77.8,0.25,-9.25,const
03/19,77.1,-0.05,10.65,const
04/19,80,2.55,7.74,++
05/19,60.1,9.25,29.93,++
06/19,64,3.19,58.51,++
07/19,77.1,-5.19,23.58,const
08/19,46.8,-4,-1.73,const
09/19,63.7,-2.8,-6.17,const
10/19,55.8,-0.44,-14.50,const
11/19,71.4,-1.25,11,--
12/19,76.6,-0.69,-19.83,const
01/20,82.5,1.94,-3.02,const
02/20,65.7,2,-8.84,++
03/20,10.9,3.44,30.45,--
04/20,33.5,-2.19,-22.84,++
05/20,56.3,3.60,34.18,const
06/20,75.5,-6.85,14.69,const
07/20,76.6,3,-9.23,++
08/20,82.4,0.64,27.43,const
09/20,67.2,-4.89,1.79,const
10/20,70.7,3.75,-11.29,++
11/20,76.7,11.95,29.36,++
12/20,85.8,14.3,36.88,++
01/21,80.2,31.5,56.22,const
02/21,76.5,6.25,14.17,++
03/21,70.8," -27",47.99,++
04/21,89.6,4.5,19.07,const
05/21,75,10.25,-2.15,--
06/21,71.6,-21.75,-36.56,const
07/21,71,-11.5,-8.49,++
08/21,67.1,-2.35,19.07,++
09/21,54.7," 0.60",22.19,const
10/21,53.5,9.79,-1.49,++
11/21,61.8,-1.79,26.78,const
12/21,53.6,-3.5,-6.19,--
01/22,47.3,5.89,-16.67,--
02/22,34.1,-7.14,-18.75,const
03/22,36.5,-6.75,14.48,const
04/22,40.7,-4,4.34,--
05/22,21.5,10.7,-16.88,--
06/22,16.3,14.29,-22.54,--
07/22,27,-20.3,-35.34,++
08/22,60.9,-7.9,20.99,const
09/22,22.9,0.75,-13.67,const
10/22,24.6,-4.39,-4.05,const
11/22,62.8,11.89,6.07,--
