Fear & Greed Index,googleTrendsDif,Month-over-month (%),type
83.8,-2.25,51.75,--
59.7,-18,-23.75,--
53.9,-4,-53.79,++
44.8,-1.95,70.09,const
59.3,-0.79,-13.76,--
64.3,-1.5,-21.67,const
66.9,-0.90,-4.68,--
73.7,1.65,-34.66,--
74.6,-1.45,-17.43,const
42,-1.79,-14.70,--
39.1,0.5,-42.71,++
24.1,0.10,15.93,--
43.4,-0.85,-19.10,++
77.8,-0.25,26.95,const
77.1,-0.29,4.67,const
80,0.29,14.11,++
60.1,1.75,65.63,const
64,-0.45,9.04,--
77.1,1.45,-25.66,--
46.8,-3.25,-20.99,const
63.7,0.20,5.09,const
55.8,-0.20,1.12,--
71.4,0,-16.68,const
76.6,0,-14.97,++
82.5,0.75,39.24,++
65.7,1.25,20.91,--
10.9,-1.20,-38.92,++
33.5,0.45,55.22,const
56.3,0.54,12.41,const
75.5,-0.79,-2.67,++
76.6,1.5,53.58,++
82.4,2.09,25.22,--
67.2,-3.0,-17.17,const
70.7,0.25,7.52,++
76.7,5.25,59.39,++
85.8,3,19.49,++
80.2,25.6,78.37,const
76.5,3.64,8.08,++
70.8,-13,35.19,++
89.6,13,44.57,const
75,36.34,-2.32,--
71.6,-45.09,-16.05,const
71,-10.25,11.36,++
67.1,13.35,35.49,const
54.7,-8.60,-12.54,++
53.5,9,42.89,const
61.8,2.75,7.96,--
53.6,-9.5,-20.55,--
47.3,2.14,-26.95,const
34.1,-10.8,8.77,const
36.5,-3.25,12.31,--
40.7,-3.5,-16.91,--
21.5,2.85,-28.80,--
16.3,4.39,-44.95,++
27,-7.19,57.15,const
60.9,0.19,-7.43,const
22.9,4.5,-14.56,++
24.6,-9.5,18.37,--
62.8,2.75,-17.70,const
